355350,84.22,72.74,92.7,77.16,80.69,67.95,90.29,73.91,15,361.42
177703,83.16,71.18,94.04,74.55,80.29,67.38,90.66,73.37,15,367.25
137458,83.28,71.35,82.2,84.39,79.42,66.29,89.2,73.12,15,357.5
379702,84.68,73.44,95.06,76.35,81.32,68.93,90.27,75.33,15,368.74
744149,84.45,73.09,96.56,75.04,80.15,67.22,90.77,73.03,19,457.05
659977,85.6,74.83,98.18,75.88,81.57,69.17,86.96,78.16,19,444.49
654816,85.49,74.65,88.11,83.01,81.36,68.98,87.66,77.41,16,372.96
63563,84.92,73.78,87.99,82.05,80.33,67.51,81.92,80.47,15,374.4
455415,84.68,73.44,96.36,75.54,79.55,66.41,89.39,73.06,17,404.7
496272,84.22,72.74,96.54,74.69,80.68,68.05,90.65,73.93,16,381.28
